RuleNo,Level,MinValue,MaxValue,LevelName
"1","1","0","33","سنة أولى"
"1","2","34","67","سنة ثانية"
"1","3","68","101","سنة ثالثة"
"1","4","102","138","سنة رابعة"
"1","5","139","999","سنة خامسة"
"2","1","0","33","سنة أولى"
"2","2","34","67","سنة ثانية"
"2","3","68","101","سنة ثالثة"
"2","4","102","138","سنة رابعة"
"2","5","139","999","سنة خامسة"
"3","1","0","33","سنة أولى"
"3","2","34","67","سنة ثانية"
"3","3","68","101","سنة ثالثة"
"3","4","102","138","سنة رابعة"
"3","5","139","999","سنة خامسة"
